,latitude,longitude,depth,place
1123071,36.889,2.462,10.0,northern Algeria
1123168,36.215,0.8140000000000001,10.0,northern Algeria
1125546,35.684,-1.596,10.0,northern Algeria
1131647,36.626,7.296,10.0,northern Algeria
1136619,35.74,-0.841,10.0,northern Algeria
1144239,35.672,3.526,10.0,northern Algeria
1144266,35.88,-1.98,0.0,northern Algeria
1146850,35.702,5.996,10.0,northern Algeria
1146948,35.76,-0.31,15.2,northern Algeria
1152874,35.461,-0.097,10.0,northern Algeria
1153286,35.078,6.1560000000000015,10.0,northern Algeria
1154390,36.326,0.252,10.0,northern Algeria
1159723,36.832,4.459,10.0,northern Algeria
1159752,35.708,4.427,10.0,northern Algeria
1162919,35.837,-1.676,10.0,northern Algeria
1163057,35.422,0.004,10.0,northern Algeria
1163134,35.996,-0.021,10.0,northern Algeria
1166542,35.827,6.0779999999999985,10.0,northern Algeria
1168381,35.55300000000001,1.4269999999999998,10.0,northern Algeria
1168810,36.31800000000001,1.061,10.0,northern Algeria
1188576,35.916,-0.71,10.0,northern Algeria
1189371,35.659,-0.6759999999999999,10.0,northern Algeria
1190271,36.636,5.312,10.0,northern Algeria
1190286,36.614,5.457000000000002,10.0,northern Algeria
1193969,36.176,1.2009999999999998,10.0,northern Algeria
1194431,35.7,0.851,10.0,northern Algeria
1195059,36.129,1.7919999999999998,10.0,northern Algeria
1197070,35.55300000000001,1.122,10.0,northern Algeria
1198106,34.949,5.391,10.0,northern Algeria
1200976,35.84,-1.9,0.0,northern Algeria
1201477,35.796,-1.469,10.0,northern Algeria
1202627,35.89,-1.61,11.8,northern Algeria
1219605,35.321,-1.281,10.0,northern Algeria
1219608,35.445,-1.369,10.0,northern Algeria
1219609,35.293,-1.374,10.0,northern Algeria
1219891,35.271,-1.193,10.0,northern Algeria
1221369,35.656,-1.5759999999999998,0.0,northern Algeria
1221640,35.853,-1.765,0.0,northern Algeria
1224798,36.69,5.323,10.0,northern Algeria
1224819,36.44,5.403,10.0,northern Algeria
1225184,36.792,2.494,10.0,northern Algeria
1225946,35.871,-1.953,15.5,northern Algeria
1226098,35.321,-1.1740000000000002,15.8,northern Algeria
1234196,35.325,-1.403,13.9,northern Algeria
1234617,35.515,-1.471,4.8,northern Algeria
1236262,35.492,-1.416,13.0,northern Algeria
1236490,35.402,-1.592,0.0,northern Algeria
1236497,35.515,-1.526,0.0,northern Algeria
1238357,35.543,-1.3430000000000002,2.2,northern Algeria
1247360,35.68,-1.526,10.0,northern Algeria
1248313,36.765,6.9860000000000015,10.0,northern Algeria
1248427,35.809,-1.648,10.0,northern Algeria
1249903,35.76,-1.503,0.0,northern Algeria
1253992,36.022,1.372,10.0,northern Algeria
1256870,36.26,3.332,10.0,northern Algeria
1259335,35.33,-1.257,5.0,northern Algeria
1262861,36.196,4.972,10.0,northern Algeria
1262876,36.051,5.004,10.0,northern Algeria
1263100,36.136,4.968,10.0,northern Algeria
1263702,35.51300000000001,-1.5830000000000002,0.0,northern Algeria
1267354,35.39,-1.6230000000000002,0.0,northern Algeria
1274226,36.408,4.842,0.0,northern Algeria
1274833,36.587,4.817,10.0,northern Algeria
1278528,36.566,4.841,10.0,northern Algeria
1278529,36.601,4.773,10.0,northern Algeria
1278535,36.077,5.242000000000001,10.0,northern Algeria
1278545,36.618,4.725,10.0,northern Algeria
1278550,36.47,4.842,10.0,northern Algeria
1278591,36.232,5.106,10.0,northern Algeria
1278704,36.222,5.1389999999999985,10.0,northern Algeria
1278717,36.289,5.1,10.0,northern Algeria
1278724,36.355,5.07,10.0,northern Algeria
1278817,36.363,4.928,10.0,northern Algeria
1278886,36.495,4.8,10.0,northern Algeria
1279627,36.658,4.759,10.0,northern Algeria
1280892,35.644,5.848,33.0,northern Algeria
1282589,36.333,5.098,10.0,northern Algeria
1282782,36.533,4.782,10.0,northern Algeria
1282789,36.479,4.921,10.0,northern Algeria
1283129,35.98900000000001,5.29,10.0,northern Algeria
1283354,36.483,5.009,10.0,northern Algeria
1284369,36.552,4.774,10.0,northern Algeria
1285078,36.463,4.78,10.0,northern Algeria
1285103,36.3,5.145,10.0,northern Algeria
1288397,36.402,5.048,10.0,northern Algeria
1293262,36.305,5.136,10.0,northern Algeria
1293776,36.531,5.278,10.0,northern Algeria
1294937,36.348,5.007,10.0,northern Algeria
1295382,35.677,-1.394,0.0,northern Algeria
1295384,35.5,-1.45,0.0,northern Algeria
1295532,35.68,5.586,10.0,northern Algeria
1299339,36.992,2.65,10.0,northern Algeria
1303779,36.433,4.766,10.0,northern Algeria
1306990,36.744,3.39,0.0,northern Algeria
1318268,35.85,-1.4480000000000002,10.0,northern Algeria
1329958,35.706,2.3080000000000003,10.0,northern Algeria
1331194,36.384,3.28,10.0,northern Algeria
1333089,35.549,-1.383,23.9,northern Algeria
1336396,36.997,2.22,0.0,northern Algeria
1339707,36.678,5.271,10.0,northern Algeria
1344333,35.776,-1.555,0.0,northern Algeria
1347207,36.331,3.242,24.5,northern Algeria
1351319,35.917,-1.117,20.3,northern Algeria
1352815,35.085,7.47,10.0,northern Algeria
1360815,36.882,3.611,10.0,northern Algeria
1364924,36.914,4.057,10.0,northern Algeria
1368061,36.571,5.442,10.0,northern Algeria
1370128,36.794,2.113,33.0,northern Algeria
1374323,36.653,7.0760000000000005,10.0,northern Algeria
1376184,35.87,1.351,10.0,northern Algeria
1379246,35.91900000000001,-1.544,0.0,northern Algeria
1389962,36.421,2.266,10.0,northern Algeria
1391086,35.805,-0.43,10.0,northern Algeria
1391819,36.489,1.469,10.0,northern Algeria
