id,time,latitude,longitude,depth,place,place_exact,exact_place_ar,exact_place_fr
269,1994-10-02T02:43:50.680Z,35.381,-0.109,15.2,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
270,1994-10-03T03:08:00.660Z,35.64,5.7360000000000015,10.0,northern Algeria,Batna ⵜⴱⴰⵜⴻⵏⵜ باتنة, باتنة,Batna 
271,1994-10-04T00:01:37.440Z,35.969,-0.6990000000000001,10.0,northern Algeria,algeria,,algeria
272,1994-11-04T14:45:09.920Z,35.527,-0.29100000000000004,8.1,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
273,1995-01-17T14:35:48.410Z,35.652,-0.66,10.0,northern Algeria,Oran ⵡⴻⵀⵔⴰⵏ وهران, وهران,Oran 
274,1995-01-17T19:08:45.160Z,36.557,6.238,10.0,northern Algeria,Mila ⵎⵉⵍⴰ ميلة, ميلة,Mila 
275,1995-06-06T19:12:12.270Z,36.882,2.454,10.0,northern Algeria,algeria,,algeria
276,1995-06-10T19:37:28.500Z,35.511,-0.131,10.0,northern Algeria,Mascara ⵎⵄⴻⵙⴽⴻⵔ معسكر, معسكر,Mascara 
277,1995-06-14T01:32:41.970Z,35.772,-1.79,5.0,northern Algeria,algeria,,algeria
278,1995-06-21T04:15:51.650Z,36.045,2.926,10.0,northern Algeria,Médéa ⵎⴷⵉⵢⵢⴰ المدية, المدية,Médéa 
279,1995-06-24T05:27:57.420Z,36.701,1.539,10.0,northern Algeria,algeria,,algeria
280,1995-06-25T13:40:35.390Z,36.38800000000001,5.77,10.0,northern Algeria,Sétif ⵙⵟⵉⴼ سطيف‎,,Sétif 
281,1995-08-20T12:19:34.630Z,36.616,5.794,10.0,northern Algeria,Jijel ⵉⵖⵉⵍ ⴳⵉⵍⵉ جيجل, جيجل,Jijel 
282,1995-09-01T18:43:25.850Z,36.575,2.43,10.0,northern Algeria,Tipaza ⵜⵉⵒⴰⵣⴰ تيبازة, تيبازة,Tipaza 
283,1995-09-19T02:09:32.700Z,35.773,0.213,10.0,northern Algeria,Mostaganem ⵎⵓⵙⵜⵖⴰⵏⴻⵎ مستغانم, مستغانم,Mostaganem 
284,1995-09-26T17:36:37.800Z,36.019,3.927,10.0,northern Algeria,Bouira ⵜⵓⴱⵉⵔⴻⵜ البويرة, البويرة,Bouira 
285,1995-09-29T11:12:16.560Z,35.963,5.357,10.0,northern Algeria,Sétif ⵙⵟⵉⴼ سطيف‎,,Sétif 
286,1995-10-10T01:42:34.710Z,36.863,4.394,33.0,northern Algeria,Tizi Ouzou ⵝⵉⵣⵉ ⵡⴻⵣⵣⵓ تيزي وزو, تيزي وزو,Tizi Ouzou 
287,1995-10-12T19:46:00.080Z,36.445,1.655,10.0,northern Algeria,Aïn Defla ⵄⵉⵏ ⴷⴻⴼⵍⴰ عين الدفلى, عين الدفلى,Aïn Defla 
